f0,f1,f2,f3,f4,f5,f6,f7,outcome
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.34375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34375
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.34375
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.34375
0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.34375
0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,2.0,-0.34375
0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,4.0,-0.34375
0.0,0.0,1.0,-1.0,0.0,0.0,-2.0,0.0,-0.34375
0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,-0.34375
0.0,1.0,1.0,1.0,0.0,1.0,0.0,-2.0,-0.34375
0.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,-0.34375
0.0,1.0,2.0,1.0,-1.0,3.0,-2.0,-2.0,-0.34375
0.0,1.0,2.0,1.0,-1.0,3.0,-1.0,0.0,-0.34375
-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-2.0,-0.34375
-1.0,2.0,0.0,1.0,1.0,1.0,1.0,-2.0,-0.34375
-2.0,2.0,-2.0,1.0,1.0,-1.0,1.0,-2.0,-0.34375
-2.0,2.0,-2.0,1.0,2.0,-1.0,5.0,2.0,-0.34375
-2.0,2.0,-2.0,1.0,2.0,-2.0,1.0,2.0,-0.34375
-2.0,2.0,-2.0,2.0,2.0,0.0,3.0,2.0,-0.34375
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.109375
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.109375
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.109375
0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.109375
0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.109375
0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.109375
0.0,0.0,-1.0,1.0,0.0,0.0,3.0,2.0,0.109375
0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,2.0,0.109375
1.0,-1.0,1.0,-1.0,0.0,2.0,3.0,4.0,0.109375
1.0,-2.0,-1.0,-1.0,0.0,2.0,3.0,4.0,0.109375
1.0,-2.0,-1.0,-1.0,0.0,-1.0,3.0,0.0,0.109375
1.0,-2.0,2.0,-1.0,0.0,3.0,3.0,4.0,0.109375
1.0,-2.0,2.0,-2.0,0.0,-1.0,-1.0,4.0,0.109375
1.0,-2.0,2.0,0.0,1.0,-1.0,-1.0,4.0,0.109375
0.0,-2.0,0.0,0.0,1.0,-3.0,-1.0,0.0,0.109375
0.0,-1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.109375
0.0,-1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.109375
0.0,-1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.109375
0.0,-2.0,0.0,3.0,-2.0,1.0,1.0,0.0,0.109375
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.28125
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.28125
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.28125
0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.28125
0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.28125
0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.28125
0.0,0.0,-1.0,1.0,0.0,0.0,3.0,2.0,0.28125
0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,2.0,0.28125
1.0,-1.0,1.0,-1.0,0.0,2.0,3.0,4.0,0.28125
1.0,-2.0,-1.0,-1.0,0.0,2.0,3.0,4.0,0.28125
1.0,-2.0,-1.0,-1.0,0.0,-1.0,3.0,0.0,0.28125
1.0,-2.0,2.0,-1.0,0.0,3.0,3.0,4.0,0.28125
1.0,-2.0,2.0,-2.0,0.0,-1.0,-1.0,4.0,0.28125
1.0,-2.0,2.0,0.0,1.0,-1.0,-1.0,4.0,0.28125
0.0,-2.0,0.0,0.0,1.0,-3.0,-1.0,0.0,0.28125
0.0,-1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.28125
0.0,-1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.28125
0.0,-1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.28125
0.0,-2.0,0.0,3.0,-2.0,1.0,1.0,0.0,0.28125
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.890625
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.890625
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.890625
0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.890625
0.0,0.0,-1.0,1.0,0.0,-1.0,2.0,2.0,0.890625
0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.890625
1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.890625
1.0,0.0,1.0,1.0,-1.0,1.0,-3.0,-2.0,0.890625
1.0,0.0,1.0,1.0,-1.0,2.0,1.0,0.0,0.890625
1.0,0.0,1.0,1.0,-1.0,2.0,0.0,-2.0,0.890625
1.0,0.0,1.0,1.0,-1.0,2.0,3.0,2.0,0.890625
1.0,0.0,1.0,1.0,-2.0,2.0,1.0,0.0,0.890625
1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.890625
1.0,1.0,1.0,1.0,0.0,2.0,0.0,-4.0,0.890625
1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,0.890625
1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.890625
1.0,2.0,1.0,0.0,2.0,2.0,3.0,4.0,0.890625
1.0,1.0,1.0,-2.0,2.0,-2.0,-1.0,4.0,0.890625
1.0,4.0,1.0,0.0,2.0,-2.0,-1.0,4.0,0.890625
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.03125
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.03125
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.03125
0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.03125
0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.03125
0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.03125
0.0,0.0,-1.0,1.0,0.0,0.0,3.0,2.0,0.03125
0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,2.0,0.03125
1.0,-1.0,1.0,-1.0,0.0,2.0,3.0,4.0,0.03125
1.0,-2.0,-1.0,-1.0,0.0,2.0,3.0,4.0,0.03125
1.0,-2.0,-1.0,-1.0,0.0,-1.0,3.0,0.0,0.03125
1.0,-2.0,2.0,-1.0,0.0,3.0,3.0,4.0,0.03125
1.0,-3.0,0.0,-1.0,0.0,3.0,3.0,4.0,0.03125
1.0,2.0,0.0,-1.0,0.0,3.0,3.0,4.0,0.03125
0.0,2.0,-2.0,-1.0,0.0,-1.0,3.0,0.0,0.03125
0.0,2.0,0.0,1.0,1.0,-1.0,3.0,0.0,0.03125
0.0,1.0,0.0,1.0,-1.0,-1.0,3.0,0.0,0.03125
0.0,1.0,0.0,1.0,-1.0,-1.0,4.0,2.0,0.03125
0.0,1.0,0.0,1.0,-2.0,-1.0,2.0,2.0,0.03125
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4375
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.4375
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4375
0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.4375
0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.4375
0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.4375
0.0,0.0,-1.0,1.0,0.0,0.0,3.0,2.0,0.4375
0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,2.0,0.4375
1.0,-1.0,1.0,-1.0,0.0,2.0,3.0,4.0,0.4375
1.0,-2.0,-1.0,-1.0,0.0,2.0,3.0,4.0,0.4375
1.0,-2.0,-1.0,-2.0,0.0,-2.0,-1.0,4.0,0.4375
1.0,-2.0,-1.0,-1.0,0.0,-2.0,1.0,4.0,0.4375
1.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0,2.0,0.4375
1.0,-1.0,-1.0,1.0,0.0,0.0,2.0,2.0,0.4375
