f0,f1,f2,f3,f4,f5,f6,f7,outcome
1.0,7.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.65625
1.0,7.0,1.0,1.0,0.0,3.0,-2.0,2.0,0.65625
1.0,7.0,1.0,1.0,0.0,2.0,-4.0,2.0,0.65625
1.0,7.0,1.0,2.0,0.0,4.0,0.0,2.0,0.65625
1.0,6.0,1.0,0.0,0.0,4.0,-2.0,2.0,0.65625
1.0,6.0,2.0,2.0,0.0,4.0,-2.0,2.0,0.65625
1.0,5.0,0.0,0.0,0.0,4.0,-2.0,2.0,0.65625
2.0,7.0,2.0,0.0,0.0,4.0,-2.0,2.0,0.65625
2.0,6.0,2.0,0.0,-4.0,2.0,-4.0,2.0,0.65625
2.0,11.0,2.0,0.0,-4.0,2.0,-4.0,2.0,0.65625
1.0,11.0,0.0,0.0,-4.0,2.0,-4.0,2.0,0.65625
1.0,12.0,0.0,2.0,-4.0,2.0,-4.0,2.0,0.65625
1.0,11.0,0.0,0.0,-4.0,2.0,-4.0,2.0,0.65625
2.0,13.0,0.0,0.0,-4.0,2.0,-4.0,2.0,0.65625
2.0,13.0,-1.0,-2.0,-6.0,0.0,-4.0,2.0,0.65625
2.0,14.0,-1.0,0.0,-4.0,0.0,-2.0,2.0,0.65625
2.0,14.0,-1.0,-1.0,-4.0,-2.0,-8.0,0.0,0.65625
2.0,19.0,-1.0,-1.0,0.0,-2.0,-4.0,0.0,0.65625
2.0,19.0,-2.0,-3.0,-2.0,-2.0,-4.0,0.0,0.65625
2.0,20.0,0.0,3.0,2.0,-2.0,0.0,2.0,0.65625
2.0,20.0,4.0,6.0,6.0,0.0,2.0,2.0,0.65625
3.0,11.0,1.0,-6.0,-1.0,-4.0,-8.0,-2.0,0.71875
3.0,12.0,1.0,-2.0,-1.0,-4.0,-8.0,-2.0,0.71875
3.0,11.0,1.0,-4.0,-1.0,-4.0,-8.0,-2.0,0.71875
3.0,14.0,1.0,-4.0,-1.0,-4.0,-8.0,-2.0,0.71875
3.0,14.0,1.0,-2.0,2.0,-2.0,-6.0,-2.0,0.71875
3.0,14.0,1.0,-2.0,1.0,-2.0,-8.0,-2.0,0.71875
3.0,15.0,1.0,0.0,1.0,-2.0,-4.0,0.0,0.71875
3.0,15.0,1.0,0.0,0.0,-2.0,-6.0,0.0,0.71875
3.0,16.0,1.0,0.0,2.0,0.0,-6.0,0.0,0.71875
3.0,17.0,1.0,0.0,6.0,0.0,-2.0,4.0,0.71875
3.0,16.0,1.0,0.0,4.0,0.0,-2.0,4.0,0.71875
4.0,20.0,1.0,0.0,4.0,0.0,-2.0,4.0,0.71875
4.0,20.0,2.0,2.0,6.0,2.0,-2.0,4.0,0.71875
4.0,20.0,2.0,1.0,6.0,0.0,-4.0,4.0,0.71875
4.0,21.0,2.0,3.0,6.0,0.0,-2.0,4.0,0.71875
4.0,20.0,2.0,1.0,6.0,0.0,-2.0,4.0,0.71875
4.0,23.0,2.0,3.0,6.0,0.0,-2.0,4.0,0.71875
4.0,23.0,2.0,3.0,5.0,0.0,-4.0,4.0,0.71875
4.0,24.0,2.0,3.0,7.0,0.0,-2.0,4.0,0.71875
4.0,24.0,2.0,2.0,7.0,0.0,-4.0,2.0,0.71875
4.0,24.0,2.0,2.0,8.0,2.0,0.0,4.0,0.71875
1.0,-6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.25
1.0,-6.0,0.0,0.0,4.0,2.0,2.0,2.0,0.25
1.0,-7.0,0.0,0.0,2.0,2.0,0.0,2.0,0.25
1.0,-2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.25
1.0,-2.0,0.0,-1.0,0.0,0.0,-4.0,2.0,0.25
1.0,-2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.25
1.0,-3.0,0.0,0.0,-2.0,0.0,2.0,2.0,0.25
1.0,-3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.25
1.0,-4.0,-2.0,-2.0,-1.0,0.0,2.0,2.0,0.25
1.0,-3.0,-2.0,-2.0,1.0,0.0,2.0,2.0,0.25
1.0,-3.0,-2.0,-5.0,1.0,0.0,2.0,2.0,0.25
1.0,0.0,-2.0,-3.0,1.0,0.0,2.0,2.0,0.25
1.0,0.0,-2.0,-4.0,-3.0,-2.0,-2.0,0.0,0.25
1.0,1.0,-2.0,-4.0,-1.0,-2.0,-2.0,0.0,0.25
1.0,-8.0,-2.0,-4.0,-1.0,-2.0,-2.0,0.0,0.25
2.0,4.0,-2.0,-4.0,-1.0,-2.0,-2.0,0.0,0.25
2.0,4.0,-3.0,-6.0,-1.0,-2.0,-2.0,0.0,0.25
2.0,5.0,-3.0,-4.0,-1.0,0.0,0.0,0.0,0.25
2.0,4.0,-3.0,-6.0,-1.0,0.0,0.0,0.0,0.25
2.0,4.0,-2.0,-4.0,-1.0,0.0,0.0,0.0,0.25
2.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.25
0.0,-12.0,0.0,0.0,2.0,2.0,0.0,2.0,0.09375
